capability_id	surface	entrypoint_id	owner_symbol	shared_owner	app_owner	app_equivalence	track_b_sensitive	side_effects	loss_if_removed
discord_query	discord	src/monitor/discord_bot.py::python_script::MindfulDiscordBot	src/monitor/discord_bot.py:MindfulDiscordBot._handle_agent_query	src/monitor/discord_bot.py:_run_agent_query	src/api/routes/research.py:create_research_run	full	false	external_network,provider_request	Discord transport is lost; App research remains.
effort_control	legacy_cli	src/agents/cli.py::python_script::main	src/agents/cli.py:handle_effort_command	src/agents/config.py:resolve_research_route	apps/arkscope-web/src/Research.tsx:ResearchView	full	false	none	CLI Anthropic effort command is lost; GUI effort selection remains.
extended_thinking	legacy_cli	src/agents/cli.py::python_script::main	src/agents/cli.py:handle_thinking_command	src/agents/anthropic_agent/agent.py:run_query_stream	apps/arkscope-web/src/settings/ModelRoutingSection.tsx:ModelRoutingSection	partial	false	none	Run-local override is lost; the App still reports model thinking behavior but cannot choose it per run.
force_compaction	legacy_cli	src/agents/cli.py::python_script::main	src/agents/cli.py:handle_compact_command	src/agents/shared/compressor/context_compressor.py:ContextCompressor	unowned:no-current-app-one-shot-compaction-owner	none	false	local_state_read	The one-shot force-Layer-5 command has no current App or HTTP equivalent.
history_mode_control	legacy_cli	src/agents/cli.py::python_script::main	src/agents/cli.py:main	src/agents/shared/scratchpad.py:ChatHistory	unowned:no-current-app-non-persisted-session-mode	none	false	local_state_write	The --no-history ephemeral-session mode has no current App or HTTP equivalent.
manual_skill	discord	src/monitor/discord_bot.py::python_script::MindfulDiscordBot	src/monitor/discord_bot.py:MindfulDiscordBot._setup_commands	src/agents/shared/skills.py:expand_skill	unowned:no-current-app-manual-skill-owner	none	true	local_state_read	Discord skill command has no admitted App equivalent pending Track B.
manual_skill	legacy_cli	src/agents/cli.py::python_script::main	src/agents/cli.py:handle_skill_command	src/agents/shared/skills.py:expand_skill	unowned:no-current-app-manual-skill-owner	none	true	local_state_read	Manual skill expansion has no admitted App or HTTP owner today.
memory_commands	legacy_cli	src/agents/cli.py::python_script::main	src/agents/cli.py:handle_memory_command	src/tools/memory_tools.py:recall_memories	src/tools/registry.py:create_default_registry	partial	false	local_state_read,local_state_write	Manual slash commands are lost; memory remains model-callable through the Research tool registry.
model_selection	legacy_cli	src/agents/cli.py::python_script::main	src/agents/cli.py:handle_model_command	src/agents/shared/model_catalog.py:MODEL_CATALOG	apps/arkscope-web/src/Research.tsx:ResearchView	full	false	none	CLI picker is lost; GUI model selection remains.
monitor_commands	discord	src/monitor/discord_bot.py::python_script::MindfulDiscordBot	src/monitor/discord_bot.py:MindfulDiscordBot._setup_commands	src/tools/monitor_tools.py:scan_alerts	src/tools/registry.py:create_default_registry	partial	false	local_state_read	Discord scan command is lost; App/model monitoring paths remain.
monitor_commands	legacy_cli	src/agents/cli.py::python_script::main	src/agents/cli.py:_handle_monitor_command	src/tools/monitor_tools.py:scan_alerts	src/tools/registry.py:create_default_registry	partial	false	local_state_read,local_state_write	Manual slash scan is lost; model-callable scan and App monitoring remain.
overflow_inspection	legacy_cli	src/agents/cli.py::python_script::main	src/agents/cli.py:handle_overflow_command	src/agents/shared/compressor/overflow_store.py:OverflowStore	unowned:no-current-app-overflow-reader	none	false	local_state_read	No current App/API surface reads overflow records.
provider_selection	legacy_cli	src/agents/cli.py::python_script::main	src/agents/cli.py:SessionState.provider	src/agents/config.py:resolve_research_route	apps/arkscope-web/src/Research.tsx:ResearchView	full	false	none	Per-session CLI flag is lost; GUI provider selection remains.
reasoning_control	discord	src/monitor/discord_bot.py::python_script::MindfulDiscordBot	src/monitor/discord_bot.py:MindfulDiscordBot._setup_commands	src/agents/shared/model_catalog.py:MODEL_CATALOG	apps/arkscope-web/src/Research.tsx:ResearchView	full	false	none	Discord reasoning command is lost; App effort selection remains.
reasoning_control	legacy_cli	src/agents/cli.py::python_script::main	src/agents/cli.py:handle_reasoning_command	src/agents/config.py:resolve_research_route	apps/arkscope-web/src/Research.tsx:ResearchView	full	false	none	CLI OpenAI effort command is lost; GUI effort selection remains.
report_commands	legacy_cli	src/agents/cli.py::python_script::main	src/agents/cli.py:handle_reports_command	src/tools/report_tools.py:save_report	src/api/routes/reports.py:reports_list	full	false	local_state_read,local_state_write	CLI formatting is lost; model save tool and reports API remain.
research_query	legacy_cli	src/agents/cli.py::python_script::main	src/agents/cli.py:main	src/agents/anthropic_agent/agent.py:run_query_stream	src/api/routes/research.py:create_research_run	full	false	external_network,local_state_write,provider_request	Only the terminal wrapper is lost; Research HTTP and GUI remain.
save_command	legacy_cli	src/agents/cli.py::python_script::main	src/agents/cli.py:handle_save_command	src/tools/report_tools.py:save_report	src/tools/registry.py:create_default_registry	partial	false	filesystem_write,local_state_write	The explicit slash command is lost; save_report remains model-callable through the Research tool registry.
scratchpad_inspection	legacy_cli	src/agents/cli.py::python_script::main	src/agents/cli.py:handle_scratchpad_command	src/agents/shared/scratchpad.py:Scratchpad	apps/arkscope-web/src/ResearchEvidenceDrawer.tsx:ResearchEvidenceDrawer	partial	false	local_state_read	Raw scratchpad listing is lost; admitted run evidence remains in the App.
session_clear	legacy_cli	src/agents/cli.py::python_script::main	src/agents/cli.py:main	src/research_threads.py:ResearchThreadStore	src/api/routes/research.py:delete_research_thread	full	false	local_state_write	CLI in-memory reset is lost; App can start or delete conversations.
skill_auto_apply	discord	src/monitor/discord_bot.py::python_script::MindfulDiscordBot	src/monitor/discord_bot.py:MindfulDiscordBot._handle_agent_query	src/agents/shared/skills.py:build_auto_apply_context	src/investor_profile.py:personalization_trace	none	true	local_state_read	Discord auto-apply is lost; current App records only an off/empty skill trace.
skill_auto_apply	legacy_cli	src/agents/cli.py::python_script::main	src/agents/cli.py:main	src/agents/shared/skills.py:build_auto_apply_context	src/investor_profile.py:personalization_trace	none	true	local_state_read	CLI auto-apply is lost; current App only records an off/empty skill trace pending Track B.
skill_suggestion	discord	src/monitor/discord_bot.py::python_script::MindfulDiscordBot	src/monitor/discord_bot.py:MindfulDiscordBot._handle_agent_query	src/agents/shared/skills.py:match_skill_trigger	unowned:no-current-app-skill-suggestion-producer	none	true	local_state_read	Discord ambiguity hints disappear; the App trace has no current suggestion producer.
skill_suggestion	legacy_cli	src/agents/cli.py::python_script::main	src/agents/cli.py:main	src/agents/shared/skills.py:render_skill_suggestion_cli	unowned:no-current-app-skill-suggestion-producer	none	true	local_state_read	CLI natural-language skill hints disappear; the App trace has no current suggestion producer.
status_and_token_usage	legacy_cli	src/agents/cli.py::python_script::main	src/agents/cli.py:handle_status_command	src/agents/shared/token_tracker.py:TokenTracker	apps/arkscope-web/src/ResearchEvidenceDrawer.tsx:ResearchEvidenceDrawer	partial	false	local_state_read	CLI aggregate status line is lost; App exposes model, effort, run and usage evidence separately.
subagent_control	legacy_cli	src/agents/cli.py::python_script::main	src/agents/cli.py:handle_subagent_command	src/agents/shared/subagent.py:dispatch_subagent	src/agents/shared/subagent.py:dispatch_subagent	partial	true	local_state_read,local_state_write,provider_request	Manual subagent model configuration is lost; model-callable delegation remains through both agent bridges.
tool_turn_limit	legacy_cli	src/agents/cli.py::python_script::main	src/agents/cli.py:handle_turns_command	src/research_runtime_config.py:ResearchRuntimeStore	apps/arkscope-web/src/settings/RuntimeLimitSections.tsx:ResearchRuntimeSection	partial	false	local_state_write	CLI per-session override is lost; App runtime limits remain configurable only as stored settings.
